x,y,rho
5.281356936609040709e-01,-7.554872947179835235e-04,1.534199908050808858e+00
5.176018510783139126e-01,-2.248340760879320201e-03,1.542842564915975601e+00
5.070603181212092192e-01,-3.705247864771576451e-03,1.548354303382786457e+00
4.965140036323053563e-01,-5.127117943980850565e-03,1.550784207143117488e+00
4.859631747161639037e-01,-6.515113670633888160e-03,1.559608838625524019e+00
4.754080661468477187e-01,-7.870269159891689348e-03,1.575796101566218743e+00
4.648489192438379769e-01,-9.193482346021767879e-03,1.582589031825312409e+00
4.542859220335218051e-01,-1.048551986076816205e-02,1.582736727202039617e+00
4.437192078670776363e-01,-1.174701438963269423e-02,1.587359318001239084e+00
4.331489479103460827e-01,-1.297845044324313912e-02,1.594194289348124016e+00
4.225752897479128634e-01,-1.418016921009418452e-02,1.605351315228296549e+00
4.119983165539762293e-01,-1.535236985216118996e-02,1.607419426685390063e+00
4.014181068012397935e-01,-1.649509921892633457e-02,1.612485546964463889e+00
3.908347426630749410e-01,-1.760824733442512696e-02,1.624311077363930211e+00
3.802482875312747090e-01,-1.869154611252209566e-02,1.630642345269712745e+00
3.696587720973872893e-01,-1.974456623343642456e-02,1.628155762523993744e+00
3.590662360278529253e-01,-2.076670820039630549e-02,1.639285432006842624e+00
3.484706972744398001e-01,-2.175719986155661909e-02,1.654735949992854227e+00
3.378721609961976013e-01,-2.271508973800724640e-02,1.660723409571490450e+00
3.272706364992556405e-01,-2.363923835105961185e-02,1.661761049645888111e+00
3.166661038284179774e-01,-2.452831369443805171e-02,1.675453314726176313e+00
3.060585717914426906e-01,-2.538077732879365569e-02,1.685062274623666312e+00
2.954480266281367395e-01,-2.619487858496624688e-02,1.680639613305887625e+00
2.848344623577793167e-01,-2.696864054971288144e-02,1.693706069301089467e+00
2.742178996019034587e-01,-2.769984512877776001e-02,1.715170898207613925e+00
2.635983352185312101e-01,-2.838602093289188666e-02,1.727589474514736656e+00
